study_hours,sleep_hours,social_activity,screen_time,stress_level,family_support,physical_activity,cgpa,anxiety_level,self_esteem,headache,sleep_quality,breathing_problem,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,addiction,isolation,mental_health_status
6,7,10,3,2,10,5,7.54,0,10,3,1,10,8,0,4,7,10,2,6,10,7,9,10,2,0
3,5,4,15,2,8,2,4.67,2,9,9,4,3,4,4,6,5,7,2,8,5,5,1,6,8,0
10,8,4,8,6,10,3,6.82,5,5,5,0,8,1,7,6,7,6,4,2,3,2,5,5,8,1
7,4,5,11,5,9,9,6.48,4,5,6,6,0,9,2,1,6,1,4,6,10,3,5,8,3,1
4,7,6,11,4,4,4,6.67,2,8,9,1,4,3,9,3,5,0,9,2,2,0,8,7,4,0
6,5,6,1,4,8,8,7.4,5,6,3,3,10,2,3,0,6,5,4,5,5,10,9,7,4,0
9,6,0,10,4,8,5,8.98,6,3,7,4,6,6,2,4,7,10,8,2,8,4,3,1,9,0
2,7,1,13,7,0,3,6.81,8,2,7,1,2,0,9,4,2,7,8,0,7,9,7,6,9,1
6,7,8,5,4,4,10,4.52,5,5,8,1,1,9,7,3,6,0,5,5,1,7,3,0,3,0
10,7,9,14,2,8,10,8.14,1,10,5,4,10,3,9,9,9,2,10,10,2,2,2,9,1,0
10,8,1,6,6,6,6,6.36,5,6,3,0,1,6,7,6,7,0,10,2,1,9,3,7,10,1
7,7,5,15,4,5,1,7.03,6,5,1,1,0,10,3,5,6,9,6,0,9,3,0,2,7,0
4,6,10,3,5,5,3,7.39,4,7,6,5,4,9,10,9,4,8,9,4,6,3,8,10,1,1
3,8,10,12,8,10,4,6.67,9,1,9,3,2,4,1,2,2,6,7,7,8,5,10,8,0,1
7,8,0,5,4,6,3,7.76,2,9,2,3,10,3,2,1,6,7,8,7,0,8,4,4,10,0
7,4,2,6,5,0,3,3.04,7,4,10,5,6,3,2,3,6,8,5,7,10,9,6,6,9,1
2,7,1,3,2,3,10,7.02,0,10,2,2,0,10,3,8,5,2,7,2,2,2,2,6,10,0
5,7,2,14,4,0,8,6.72,5,5,2,3,8,1,10,9,5,9,1,7,5,3,4,8,6,0
4,6,4,7,6,5,10,7.38,8,1,3,2,1,7,1,4,4,10,9,3,3,5,9,1,8,1
1,9,10,8,1,3,1,7.71,0,10,1,1,7,3,1,0,5,1,7,7,9,5,3,3,2,0
7,6,9,0,5,0,5,7.53,7,2,4,3,9,1,2,10,6,5,10,2,9,6,6,7,1,1
5,6,5,6,5,8,7,7.86,6,5,2,2,3,8,0,2,5,4,1,2,0,0,4,4,4,1
1,6,8,8,5,3,7,7.75,7,2,9,2,5,9,7,8,3,3,7,0,8,8,1,10,3,1
4,6,10,14,7,5,10,7.72,8,1,4,5,8,6,5,6,3,5,1,7,6,1,2,4,0,1
0,5,9,11,5,6,6,6.43,7,4,6,4,6,2,2,2,2,5,2,7,10,3,7,2,0,1
9,4,3,9,7,7,9,6.78,9,2,8,4,7,6,0,0,6,2,6,8,6,2,2,4,5,1
